month,day,wtp1,wtp2
1,1,20821.861031001758,5818.154881143245
1,2,20703.518943529343,5850.323778414872
1,3,20595.579909991804,5881.026899067407
1,4,20497.668338812495,5910.31592537397
1,5,20409.41647783075,5938.241519331012
1,6,20330.464319231298,5964.853332921165
1,7,20260.459505001512,5990.200018336236
1,8,20199.0572329165,6014.329238160322
1,9,20145.920163051916,6037.287675513055
1,10,20100.718324824687,6059.121044152985
1,11,20063.129024561484,6079.874098541082
1,12,20032.836753594973,6099.590643864378
1,13,20009.533096887975,6118.313546019734
1,14,19992.916642185308,6136.084741557731
1,15,19982.692889693546,6152.945247586706
1,16,19978.574162288518,6168.935171636902
1,17,19980.27951625065,6184.093721484762
1,18,19987.534652528095,6198.459214937338
1,19,20000.071828527653,6212.069089576848
1,20,20017.629770433563,6224.959912465336
1,21,20039.953586054035,6237.1673898095
1,22,20066.794678195634,6248.726376585617
1,23,20097.910658565423,6259.670886124608
1,24,20133.065262200995,6270.034099657238
1,25,20172.028262428215,6279.848375819445
1,26,20214.575386346853,6289.14526011779
1,27,20260.48823084395,6297.955494355053
1,28,20309.55417913508,6306.309026015937
1,29,20361.566317833327,6314.235017612923
1,30,20416.323354546155,6321.761855992247
1,31,20473.629535999993,6328.917161599999
2,1,20533.29456669272,6335.727797708366
2,2,20595.133528073922,6342.219879601993
2,3,20658.966798252914,6348.41878372448
2,4,20724.6199722346,6354.349156785015
2,5,20791.923782683218,6360.034924825116
2,6,20860.714021213767,6365.499302245532
2,7,20930.831460211273,6370.764800793242
2,8,21002.12177517797,6375.853238508617
2,9,21074.435467608106,6380.785748632689
2,10,21147.62778839079,6385.582788474548
2,11,21221.55866174033,6390.26414823889
2,12,21296.092609654726,6394.848959813677
2,13,21371.09867690171,6399.3557055179335
2,14,21446.450356532718,6403.802226809671
2,15,21522.025515924717,6408.205732953941
2,16,21597.706323349586,6412.582809651018
2,17,21673.379175071626,6416.949427624726
2,18,21748.93462297278,6421.32095117087
2,19,21824.26730270542,6425.712146665823
2,20,21899.275862373288,6430.137191035219
2,21,21973.86289174007,6434.6096801827925
2,22,22047.934851965816,6439.142637379347
2,23,22121.402005871074,6443.748521611842
2,24,22194.178348728972,6448.439235892631
2,25,22266.181539585064,6453.2261355287965
2,26,22337.332833104912,6458.120036351644
2,27,22407.55701194959,6463.131222906327
2,28,22476.782319678852,6468.269456601578
2,29,22544.940394182304,6473.5439838195725
2,30,22611.966201638163,6478.963543985967
2,31,22677.797970999978,6484.536377600001
3,1,22744.507538989972,6490.464222123503
3,2,22809.818500965877,6496.572009519015
3,3,22873.673239745898,6502.867207421446
3,4,22936.017560646345,6509.356751378815
3,5,22996.80061745795,6516.0470540742135
3,6,23055.97483906457,6522.944014499226
3,7,23113.495856704525,6530.053027078817
3,8,23169.32243187462,6537.378990747648
3,9,23223.416384876415,6544.926317977914
3,10,23275.742524005473,6552.698943758573
3,11,23326.268575382826,6560.700334526091
3,12,23374.96511342915,6568.933497046632
3,13,23421.805491981708,6577.40098724967
3,14,23466.76577605326,6586.104919013151
3,15,23509.824674234347,6595.0469729
3,16,23550.96347173756,6604.22840484621
3,17,23590.165964084445,6613.650054800306
3,18,23627.418391435247,6623.31235531428
3,19,23662.709373560996,6633.215340086026
3,20,23696.029845458135,6643.358652453222
3,21,23727.372993605997,6653.7415538386485
3,22,23756.734192866308,6664.362932146987
3,23,23784.110944026033,6675.221310113091
3,24,23809.50281198202,6686.314853601689
